canonical_lineage_id,canonical_label,lineage_class,family,canonical_source_locator,registry_entry_ids,source_object_ids,aliases_and_related_views,representation_note,evidence_types,organism,assay,perturbation,acquisition_readiness,rights_pool,rights_basis,overlap_decision,verification_basis,limitations
aggregator:arc_vca,Arc Virtual Cell Atlas,aggregator,aggregators,https://github.com/ArcInstitute/arc-virtual-cell-atlas | https://console.cloud.google.com/marketplace/product/bigquery-public-data/arc-institute,agg013_arc_vca_readmes; agg014_arc_vca_bucket_listing,,"aggregator:arc_vca; includes tahoebio/Tahoe-100M, arc-vcc-2025, scBaseCount SRA studies",,resource_metadata,human,scRNA-seq,chemical (Tahoe) + CRISPRi (VCC) + mixed (scBaseCount); mixed,metadata_or_manifest_only,terms-gated,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,agg013_arc_vca_readmes: manifest_only | agg014_arc_vca_bucket_listing: unresolved,Aggregator/portal identity; upstream studies named in its metadata are aliases only and are not expanded or counted from this row.
aggregator:cellxgene_discover,CELLxGENE Discover collections,aggregator,aggregators,https://api.cellxgene.cziscience.com/curation/v1/collections,agg012_cellxgene_collections,,aggregator:cellxgene_discover; distributes original studies by accession,,resource_metadata,human,scRNA/multiome,mixed incl. perturbation datasets,metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,agg012_cellxgene_collections: manifest_only,Aggregator/portal identity; upstream studies named in its metadata are aliases only and are not expanded or counted from this row.
aggregator:czi_vcp,CZI Virtual Cells Platform,aggregator,aggregators,https://virtualcellmodels.cziscience.com/,agg011_czi_virtual_cells_platform,,"aggregator:czi_vcp; mirrors GSE314342,GSE90546,GSE133344,PRJNA831566",,resource_metadata,human,scRNA-seq,CRISPRi genome-scale,metadata_or_manifest_only,terms-gated,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,agg011_czi_virtual_cells_platform: manifest_only,Aggregator/portal identity; upstream studies named in its metadata are aliases only and are not expanded or counted from this row.
aggregator:gears_benchmarks,GEARS benchmarks,aggregator,aggregators,https://github.com/snap-stanford/GEARS,agg008_gears_readme,,"aggregator:gears_benchmarks; derivatives of GSE90546,GSE90063,GSE133344,PRJNA831566",,resource_metadata,human,scRNA-seq,CRISPRi/a KO,metadata_or_manifest_only,terms-gated,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,agg008_gears_readme: manifest_only,Aggregator/portal identity; upstream studies named in its metadata are aliases only and are not expanded or counted from this row.
aggregator:pertpy_loaders,pertpy loaders,aggregator,aggregators,https://pertpy.readthedocs.io/en/stable/api/datasets_index.html,agg010_pertpy_datasets_index,,aggregator:pertpy_loaders; mirrors same GEO accessions as scPerturb,,resource_metadata,human;mouse,scRNA/CITE,mixed CRISPR and drug,metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,agg010_pertpy_datasets_index: manifest_only,Aggregator/portal identity; upstream studies named in its metadata are aliases only and are not expanded or counted from this row.
aggregator:perturbase,PerturBase Zenodo demo,aggregator,aggregators,https://zenodo.org/doi/10.5281/zenodo.13761517 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11701531/fullTextXML | https://figshare.com/s/dddc4ddf91d0b100fd6c | https://pmc.ncbi.nlm.nih.gov/articles/PMC11701531/,agg004_perturbase_demo; agg005_perturbase_paper; agg015_perturbase_figshare_demo; agg016_pmc_direct_page,,aggregator:perturbase; overlaps original GEO/SRA studies incl. GSE116248,,processed_demo_data_and_code | paper_metadata | processed_demo_data,human;mouse; human,scRNA/scATAC/CITE; mixed,genetic plus 230 chemical; mixed,materialized_fleet_evidence,research-only/noncommercial,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,agg004_perturbase_demo: files_checksummed | agg005_perturbase_paper: manifest_only | agg015_perturbase_figshare_demo: unresolved | agg016_pmc_direct_page: unresolved,Aggregator/portal identity; upstream studies named in its metadata are aliases only and are not expanded or counted from this row.
aggregator:perturbdb,PerturbDB portal,aggregator,aggregators,https://doi.org/10.1093/nar/gkae777,agg006_perturbdb_portal,,"aggregator:perturbdb; reprocesses Replogle,Norman,Adamson,Dixit,Frangieh originals",,resource_metadata,human;mouse,scRNA/scATAC,CRISPR KO/knockdown (Mixscape-filtered),metadata_or_manifest_only,terms-gated,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,agg006_perturbdb_portal: manifest_only,Aggregator/portal identity; upstream studies named in its metadata are aliases only and are not expanded or counted from this row.
aggregator:perturbseqdb,PerturbSeq.db portal,aggregator,aggregators,https://doi.org/10.1016/j.jmb.2025.169209,agg007_perturbseqdb_portal,,aggregator:perturbseqdb; superset-like overlap with scPerturb/PerturBase and pre-2024 originals,,resource_metadata,human;mouse;Toxoplasma,scRNA/scATAC,147 genetic datasets plus chemical,metadata_or_manifest_only,terms-gated,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,agg007_perturbseqdb_portal: manifest_only,Aggregator/portal identity; upstream studies named in its metadata are aliases only and are not expanded or counted from this row.
aggregator:scperteval,scPertEval benchmark set,aggregator,aggregators,https://github.com/Virtual-Cell-Research-Community/scPertEval/blob/main/docs/user-guide/datasets.md,agg009_scperteval_datasets_doc,,"aggregator:scperteval; mirrors PRJNA831566,GSE264667,GSE213957,PRJNA1173491,arc-vcc-2025",,resource_metadata,human,scRNA-seq,CRISPRi/KO/Cas13,metadata_or_manifest_only,terms-gated,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,agg009_scperteval_datasets_doc: manifest_only,Aggregator/portal identity; upstream studies named in its metadata are aliases only and are not expanded or counted from this row.
aggregator:scperturb,scPerturb portal,aggregator,aggregators,https://www.sanderlab.org/scPerturb/,agg001_scperturb_portal,,,,resource_metadata,mixed,scRNA/CITE/scATAC,mixed CRISPR and drug,metadata_or_manifest_only,terms-gated,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,agg001_scperturb_portal: manifest_only,Aggregator/portal identity; upstream studies named in its metadata are aliases only and are not expanded or counted from this row.
